Accession,Description,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,Modifications
Q9R0T4,Cadherin-1 OS=Rattus norvegicus OX=10116 GN=Cdh1 PE=1 SV=1,4,2,2,2,1,886,98.7,4.81,4.63,2,Oxidation [P488]
Q99372,Elastin OS=Rattus norvegicus OX=10116 GN=Eln PE=1 SV=2,6,2,2,2,1,870,73.3,10.35,4.62,2,Oxidation [P662]
Q5FVM4,Non-POU domain-containing octamer-binding protein OS=Rattus norvegicus OX=10116 GN=Nono PE=1 SV=3,7,2,2,2,1,476,54.9,8.95,4.62,2,Oxidation [P456; P464; P470]
O35346,Focal adhesion kinase 1 OS=Rattus norvegicus OX=10116 GN=Ptk2 PE=1 SV=1,4,2,2,2,1,1055,119.6,6.68,4.61,2,Oxidation [P976; K991]
B2GV24,E3 UFM1-protein ligase 1 OS=Rattus norvegicus OX=10116 GN=Ufl1 PE=1 SV=1,4,2,2,2,1,793,89.5,6.99,4.59,2,Oxidation [K469; K470; K744; K758]
Q5FB95,Protein ERGIC-53-like OS=Rattus norvegicus OX=10116 GN=Lman1l PE=1 SV=1,3,2,2,2,1,503,56.3,7.52,4.58,2,Oxidation [K336; K339]
Q5U2N0,CTP synthase 2 OS=Rattus norvegicus OX=10116 GN=Ctps2 PE=1 SV=1,6,2,2,2,1,586,65.6,6.39,4.57,2,Oxidation [K100; P238]
O09175,Aminopeptidase B OS=Rattus norvegicus OX=10116 GN=Rnpep PE=1 SV=2,3,2,2,2,1,650,72.6,5.67,4.57,2,Oxidation [P292; P293]
P35952,Low-density lipoprotein receptor OS=Rattus norvegicus OX=10116 GN=Ldlr PE=1 SV=1,4,2,2,2,1,879,96.6,4.98,4.57,2,Oxidation [P280; K282; P673]
A0JPN4,Endoribonuclease ZC3H12A OS=Rattus norvegicus OX=10116 GN=Zc3h12a PE=2 SV=1,7,2,2,2,1,596,65.9,7.65,4.55,2,Oxidation [P358; P455]
Q66HB6,Cancer-associated gene 1 protein homolog OS=Rattus norvegicus OX=10116 GN=Cage1 PE=2 SV=1,3,2,2,2,1,847,97.4,5.66,4.55,2,Oxidation [P71; P78; P827; K828]
B5DFK3,Homeobox protein Hox-D9 OS=Rattus norvegicus OX=10116 GN=Hoxd9 PE=2 SV=1,13,2,2,2,1,343,35.2,8.91,4.54,2,Oxidation [P134; P136]
P35570,Insulin receptor substrate 1 OS=Rattus norvegicus OX=10116 GN=Irs1 PE=1 SV=1,4,2,2,2,1,1235,131.1,8.75,4.54,2,Oxidation [P928]
Q9QUH6,Ras/Rap GTPase-activating protein SynGAP OS=Rattus norvegicus OX=10116 GN=Syngap1 PE=1 SV=2,3,2,2,2,1,1308,144.6,9.06,4.54,2,Oxidation [P751; P1049; P1065]
Q5U2M8,Mediator of DNA damage checkpoint protein 1 OS=Rattus norvegicus OX=10116 GN=Mdc1 PE=1 SV=2,3,2,2,2,1,1279,136.9,4.91,4.53,2,Oxidation [P368; P369; P516]
P62819,Protein S100-A3 OS=Rattus norvegicus OX=10116 GN=S100a3 PE=1 SV=1,12,2,2,2,1,101,11.7,4.78,4.53,2,Oxidation [P95; P97; P98; P100]
B0BN13,Inhibitory synaptic factor 1 OS=Rattus norvegicus OX=10116 GN=Insyn1 PE=2 SV=1,13,2,2,2,1,291,31.6,4.93,4.52,2,Oxidation [P12; P16; P147; P149]
Q9R1T9,Potassium voltage-gated channel subfamily H member 4 OS=Rattus norvegicus OX=10116 GN=Kcnh4 PE=2 SV=1,3,2,2,2,1,1017,111.3,8.47,4.52,2,Oxidation [P631; K646; P980; P981]
G3V735,Angiomotin-like protein 2 OS=Rattus norvegicus OX=10116 GN=Amotl2 PE=3 SV=1,4,2,2,2,1,773,85.5,7.18,4.52,2,Oxidation [P294; P295]
Q63661,Mucin-4 OS=Rattus norvegicus OX=10116 GN=Muc4 PE=1 SV=2,1,2,2,2,1,2344,247.9,6.35,4.52,2,Oxidation [P296]
O54921,Exocyst complex component 2 OS=Rattus norvegicus OX=10116 GN=Exoc2 PE=1 SV=1,2,2,2,0,0,924,104,7.09,4.52,2,
Q6IN02,Protein phosphatase 1 regulatory subunit 15A OS=Rattus norvegicus OX=10116 GN=Ppp1r15a PE=2 SV=2,8,2,2,2,1,578,63.5,5.05,4.51,2,Oxidation [P207; P260]
Q6RJR6,Reticulon-3 OS=Rattus norvegicus OX=10116 GN=Rtn3 PE=1 SV=1,3,2,2,2,1,940,101.5,5.11,4.5,2,Oxidation [K590; K595; P715; K717]
Q5HZB6,CLK4-associating serine/arginine rich protein OS=Rattus norvegicus OX=10116 GN=Clasrp PE=1 SV=2,5,2,2,2,1,668,76.8,10.36,4.48,2,Oxidation [K534; P553]
Q9ES54,Nuclear protein localization protein 4 homolog OS=Rattus norvegicus OX=10116 GN=Nploc4 PE=1 SV=3,6,2,2,2,1,608,68,6.49,4.48,2,Oxidation [P376]
Q642A6,von Willebrand factor A domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Vwa1 PE=2 SV=1,7,2,2,2,1,415,44.8,6.7,4.45,2,Oxidation [P26; P308; P318]
P48763,Sodium/hydrogen exchanger 2 OS=Rattus norvegicus OX=10116 GN=Slc9a2 PE=1 SV=1,3,2,2,2,1,813,91.3,9.39,4.45,2,Oxidation [P760; P787; P788]
P12839,Neurofilament medium polypeptide OS=Rattus norvegicus OX=10116 GN=Nefm PE=1 SV=4,4,2,2,2,1,846,95.7,4.79,4.45,2,Oxidation [P498]
Q4KLN7,ADP-ribosylation factor GTPase-activating protein 3 OS=Rattus norvegicus OX=10116 GN=Arfgap3 PE=1 SV=1,8,2,2,2,1,525,57.6,8.35,4.44,2,Oxidation [K205; P409]
Q920R4,G-protein coupled receptor-associated sorting protein 1 OS=Rattus norvegicus OX=10116 GN=Gprasp1 PE=1 SV=1,2,2,2,2,1,1346,151.3,4.98,4.43,2,
O35821,Myb-binding protein 1A OS=Rattus norvegicus OX=10116 GN=Mybbp1a PE=1 SV=2,3,2,2,2,1,1344,152.2,8.95,4.41,2,Oxidation [K1197]
P07727,Glycine receptor subunit alpha-1 OS=Rattus norvegicus OX=10116 GN=Glra1 PE=1 SV=4,4,2,2,2,1,457,52.6,8.9,4.4,2,Oxidation [P33; P35]
F1LP64,E3 ubiquitin-protein ligase TRIP12 OS=Rattus norvegicus OX=10116 GN=Trip12 PE=1 SV=1,1,2,2,2,1,2025,223.8,8.38,4.39,2,Oxidation [K106]
Q5FVQ8,NLR family member X1 OS=Rattus norvegicus OX=10116 GN=Nlrx1 PE=2 SV=1,3,2,2,2,1,973,107.5,7.56,4.38,2,Oxidation [P118]
Q9WTZ3,Membrane-bound transcription factor site-1 protease OS=Rattus norvegicus OX=10116 GN=Mbtps1 PE=1 SV=2,2,2,2,2,1,1052,117.4,8.81,4.37,2,Oxidation [P439; K443]
A2RUV9,Adipocyte enhancer-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Aebp1 PE=2 SV=1,3,2,2,2,1,1128,128,5.2,4.36,2,Oxidation [P311]
P97738,Neuronal pentraxin-2 OS=Rattus norvegicus OX=10116 GN=Nptx2 PE=1 SV=1,9,2,2,2,1,432,47.4,5.76,4.36,2,Oxidation [P341; P344; K346; P400; P405]
Q9WV48,SH3 and multiple ankyrin repeat domains protein 1 OS=Rattus norvegicus OX=10116 GN=Shank1 PE=1 SV=1,2,2,2,2,1,2167,226.2,8.34,4.35,2,Oxidation [P1070; P1072; P1084; P1282; P1284]
P30427,Plectin OS=Rattus norvegicus OX=10116 GN=Plec PE=1 SV=2,0,2,2,0,0,4687,533.2,5.91,4.34,2,
Q5I0C3,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Rattus norvegicus OX=10116 GN=Mccc1 PE=1 SV=1",4,2,2,2,1,715,79.3,7.14,4.34,2,Oxidation [P630]
D3ZVK1,DNA helicase MCM8 OS=Rattus norvegicus OX=10116 GN=Mcm8 PE=3 SV=1,4,2,2,2,1,830,91.9,7.84,4.34,2,Oxidation [P242; P244; K337]
D3Z9H7,"Nuclear factor of activated T-cells, cytoplasmic 4 OS=Rattus norvegicus OX=10116 GN=Nfatc4 PE=1 SV=1",4,2,2,2,1,901,95.7,5.3,4.34,2,Oxidation [P24; P25; P28]
Q63560,Microtubule-associated protein 6 OS=Rattus norvegicus OX=10116 GN=Map6 PE=1 SV=1,5,2,2,2,1,952,100.4,9.44,4.33,2,Oxidation [P222; P848]
O88599,Myosin-binding protein H OS=Rattus norvegicus OX=10116 GN=Mybph PE=1 SV=1,7,2,2,2,1,484,52.6,6.4,4.32,2,
Q07652,Voltage-dependent R-type calcium channel subunit alpha-1E OS=Rattus norvegicus OX=10116 GN=Cacna1e PE=1 SV=1,2,2,2,2,1,2222,252,8,4.32,2,Oxidation [P957; P961; P2053; P2061]
O88797,Disabled homolog 2 OS=Rattus norvegicus OX=10116 GN=Dab2 PE=1 SV=1,5,2,2,2,1,768,82.3,6.19,4.31,2,Oxidation [P737]
Q9Z258,Potassium channel subfamily T member 1 OS=Rattus norvegicus OX=10116 GN=Kcnt1 PE=1 SV=1,3,2,2,2,1,1237,139.5,7.31,4.28,2,Oxidation [P662]
Q5XIM7,Lysine--tRNA ligase OS=Rattus norvegicus OX=10116 GN=Kars1 PE=1 SV=1,5,2,2,2,1,626,71.6,6.6,4.27,2,Oxidation [P298]
Q5TKR9,Histone acetyltransferase KAT6A OS=Rattus norvegicus OX=10116 GN=Kat6a PE=1 SV=2,1,2,2,2,1,1998,223.2,5.69,4.26,2,Oxidation [P1141]
Q5XIV2,Probable E3 ubiquitin-protein ligase MARCHF10 OS=Rattus norvegicus OX=10116 GN=Marchf10 PE=1 SV=1,3,2,2,2,1,790,87.8,7.23,4.25,2,Oxidation [P550; P560]
O55170,Transcription factor SOX-10 OS=Rattus norvegicus OX=10116 GN=Sox10 PE=1 SV=1,7,2,2,2,1,466,50,6.6,4.25,2,Oxidation [P169; K208]
O35260,Nucleus accumbens-associated protein 1 OS=Rattus norvegicus OX=10116 GN=Nacc1 PE=1 SV=1,7,2,2,2,1,514,56.4,5.72,4.25,2,Oxidation [P488]
Q63372,Neurexin-1 OS=Rattus norvegicus OX=10116 GN=Nrxn1 PE=1 SV=3,3,2,2,2,1,1530,167.8,5.96,4.24,2,Oxidation [P196; K203]
Q5FVR8,TBCC domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Tbccd1 PE=2 SV=1,3,2,2,2,1,569,64.7,8.46,4.24,2,Oxidation [P424]
Q64632,Integrin beta-4 OS=Rattus norvegicus OX=10116 GN=Itgb4 PE=1 SV=1,2,2,2,2,1,1807,200.5,5.9,4.24,2,Oxidation [P1562]
B1WC97,BTB/POZ domain-containing protein KCTD7 OS=Rattus norvegicus OX=10116 GN=Kctd7 PE=2 SV=1,8,2,2,2,1,289,33.1,6.07,4.23,2,Oxidation [P30; P33; P43; P146]
D4A1W8,Microsomal triglyceride transfer protein large subunit OS=Rattus norvegicus OX=10116 GN=Mttp PE=1 SV=1,3,2,2,0,0,896,99.1,7.65,4.23,2,Oxidation [P464]
P25114,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4 OS=Rattus norvegicus OX=10116 GN=Pfkfb4 PE=1 SV=3",7,2,2,2,1,469,54.1,6.48,4.22,2,Oxidation [P18; P449; P457; P466]
O08662,Phosphatidylinositol 4-kinase alpha OS=Rattus norvegicus OX=10116 GN=Pi4ka PE=1 SV=2,1,2,2,2,1,2096,236.8,7.2,4.22,2,
Q761X5,Netrin receptor UNC5C OS=Rattus norvegicus OX=10116 GN=Unc5c PE=1 SV=1,3,2,2,0,0,931,103.1,6.07,4.21,2,Oxidation [P190; P191; P195]
Q68FV4,Uncharacterized protein SPEM2 OS=Rattus norvegicus OX=10116 GN=Spem2 PE=2 SV=1,3,2,2,2,1,504,56.9,9.91,4.19,2,Oxidation [P201; P204]
P29066,Beta-arrestin-1 OS=Rattus norvegicus OX=10116 GN=Arrb1 PE=1 SV=1,7,2,2,2,1,418,47,6.28,4.19,2,Oxidation [P264]
P38650,Cytoplasmic dynein 1 heavy chain 1 OS=Rattus norvegicus OX=10116 GN=Dync1h1 PE=1 SV=1,0,2,2,2,1,4644,531.9,6.46,4.17,2,Oxidation [P972; K1328]
Q62930,Complement component C9 OS=Rattus norvegicus OX=10116 GN=C9 PE=1 SV=1,4,2,2,2,1,554,62.2,5.69,4.16,2,Oxidation [P23; P25; P27]
D3ZCM3,ATP-binding cassette subfamily G member 4 OS=Rattus norvegicus OX=10116 GN=Abcg4 PE=2 SV=1,5,2,2,2,1,650,72.4,8.06,4.16,2,Oxidation [P356; P360]
Q9QUR2,Dynactin subunit 4 OS=Rattus norvegicus OX=10116 GN=Dctn4 PE=1 SV=1,5,2,2,2,1,467,53.1,7.72,4.15,2,Oxidation [P95]
Q66X93,Staphylococcal nuclease domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Snd1 PE=1 SV=1,2,2,2,2,1,909,101.9,7.18,4.15,2,Oxidation [P143; K456]
P97629,Leucyl-cystinyl aminopeptidase OS=Rattus norvegicus OX=10116 GN=Lnpep PE=1 SV=1,3,2,2,2,1,1025,117.1,5.57,4.15,2,Oxidation [P169; P174]
Q6P7B2,Protein CNPPD1 OS=Rattus norvegicus OX=10116 GN=Cnppd1 PE=2 SV=1,7,2,2,2,1,408,45.5,6.07,4.14,2,Oxidation [P320]
O88382,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 OS=Rattus norvegicus OX=10116 GN=Magi2 PE=1 SV=1",3,2,2,2,1,1277,141,6.25,4.13,2,Oxidation [P742; P1015; P1019]
Q9JKC9,Synergin gamma OS=Rattus norvegicus OX=10116 GN=Synrg PE=1 SV=3,3,2,2,2,1,1329,141.3,5.08,4.13,2,Oxidation [P5; P19; P1009]
P04633,Mitochondrial brown fat uncoupling protein 1 OS=Rattus norvegicus OX=10116 GN=Ucp1 PE=1 SV=2,7,2,2,0,0,307,33.2,9.06,4.12,2,Oxidation [P213]
P53534,"Glycogen phosphorylase, brain form (Fragment) OS=Rattus norvegicus OX=10116 GN=Pygb PE=1 SV=3",3,2,2,1,1,838,96.1,6.68,4.12,2,Oxidation [P612]
P35349,Metabotropic glutamate receptor 6 OS=Rattus norvegicus OX=10116 GN=Grm6 PE=2 SV=1,4,2,2,2,1,871,95,7.36,4.12,2,Oxidation [P639]
Q925N6,Immunoglobulin superfamily member 1 OS=Rattus norvegicus OX=10116 GN=Igsf1 PE=1 SV=1,2,2,2,2,1,1320,147.2,5.64,4.11,2,Oxidation [P668; K669; P670]
Q02195,Fibroblast growth factor 7 OS=Rattus norvegicus OX=10116 GN=Fgf7 PE=1 SV=1,14,2,2,2,1,194,22.3,9.16,4.1,2,
Q8VI02,Serine/threonine-protein phosphatase 4 regulatory subunit 1 OS=Rattus norvegicus OX=10116 GN=Ppp4r1 PE=1 SV=1,3,2,2,2,1,951,105.5,4.79,4.08,2,Oxidation [P477; P479]
P19493,Glutamate receptor 4 OS=Rattus norvegicus OX=10116 GN=Gria4 PE=1 SV=1,3,2,2,2,1,902,100.7,7.85,4.08,2,Oxidation [P61; K678]
Q5XIL3,DNA-directed RNA polymerase III subunit RPC3 OS=Rattus norvegicus OX=10116 GN=Polr3c PE=2 SV=1,4,2,2,2,1,533,60.5,7.02,4.07,2,Oxidation [P386]
P16638,ATP-citrate synthase OS=Rattus norvegicus OX=10116 GN=Acly PE=1 SV=1,3,2,2,2,1,1100,120.6,7.34,4.07,2,Oxidation [K467]
P49797,Regulator of G-protein signaling 3 OS=Rattus norvegicus OX=10116 GN=Rgs3 PE=1 SV=2,3,2,2,2,1,967,106.3,5.66,4.07,2,Oxidation [P477; P482; P814]
P82995,Heat shock protein HSP 90-alpha OS=Rattus norvegicus OX=10116 GN=Hsp90aa1 PE=1 SV=3,2,2,2,2,1,733,84.8,5.01,4.07,2,
P34058,Heat shock protein HSP 90-beta OS=Rattus norvegicus OX=10116 GN=Hsp90ab1 PE=1 SV=4,2,2,2,2,1,724,83.2,5.03,4.07,2,
P13676,Acylamino-acid-releasing enzyme OS=Rattus norvegicus OX=10116 GN=Apeh PE=1 SV=1,4,2,2,2,1,732,81.3,5.73,4.07,2,Oxidation [P491; P494; P495]
Q6AYJ4,Meiotic recombination protein REC8 homolog OS=Rattus norvegicus OX=10116 GN=Rec8 PE=1 SV=1,6,2,2,2,1,593,67.8,5.17,4.06,2,Oxidation [P150; P154]
P0C5H6,Protein turtle homolog A OS=Rattus norvegicus OX=10116 GN=Igsf9 PE=1 SV=1,3,2,2,2,1,1179,127.9,7.25,4.06,2,Oxidation [P308; P310]
Q8K560,Otospiralin OS=Rattus norvegicus OX=10116 GN=Otos PE=2 SV=1,28,2,2,2,1,89,10.1,4.42,4.06,2,Oxidation [P23; P25; P30]
Q5U317,Pre-mRNA 3'-end-processing factor FIP1 OS=Rattus norvegicus OX=10116 GN=Fip1l1 PE=1 SV=1,5,2,2,2,1,536,60.2,5.57,4.06,2,Oxidation [P523]
Q6SA80,Rho-related GTP-binding protein RhoE OS=Rattus norvegicus OX=10116 GN=Rnd3 PE=2 SV=1,14,2,2,2,1,244,27.4,8.48,4.05,2,Oxidation [K118]
Q4KLH3,Opioid growth factor receptor-like protein 1 OS=Rattus norvegicus OX=10116 GN=Ogfrl1 PE=2 SV=1,8,2,2,2,1,465,52.8,6.25,4.05,2,
P07897,Aggrecan core protein OS=Rattus norvegicus OX=10116 GN=Acan PE=1 SV=2,1,2,2,2,1,2124,221,4.26,4.05,2,Oxidation [P1067; K1070]
D3ZGX1,Neurite extension and migration factor OS=Rattus norvegicus OX=10116 GN=Nexmif PE=1 SV=1,2,2,2,2,1,1517,166.6,6.06,4.04,2,Oxidation [P1292; K1475; K1485]
P10362,Secretogranin-2 OS=Rattus norvegicus OX=10116 GN=Scg2 PE=1 SV=1,2,2,2,2,1,619,71,4.78,4.04,2,
D4A7T3,Bromodomain testis-specific protein OS=Rattus norvegicus OX=10116 GN=Brdt PE=1 SV=1,2,2,2,2,1,952,106.7,9.1,4.03,2,Oxidation [P163; K165]
P35524,Chloride channel protein 1 OS=Rattus norvegicus OX=10116 GN=Clcn1 PE=1 SV=1,3,2,2,2,1,994,110,6.28,4.03,2,Oxidation [P480; P723; P726]
O55034,Sperm-associated antigen 4 protein OS=Rattus norvegicus OX=10116 GN=Spag4 PE=1 SV=2,4,2,2,2,1,444,48.7,6.73,4.03,2,
Q6AXQ7,IQ and AAA domain-containing protein 1-like OS=Rattus norvegicus OX=10116 GN=Iqca1l PE=2 SV=2,3,2,2,2,1,822,95.6,9.52,4.02,2,Oxidation [K787]
P54258,Atrophin-1 OS=Rattus norvegicus OX=10116 GN=Atn1 PE=1 SV=1,3,2,2,2,1,1183,124.7,8.91,4.02,2,Oxidation [P708]
Q8K4F7,m7GpppX diphosphatase OS=Rattus norvegicus OX=10116 GN=Dcps PE=2 SV=1,7,2,2,2,1,336,38.7,6.48,4.01,2,Oxidation [P193; P195]
D4A208,SLIT-ROBO Rho GTPase-activating protein 2 OS=Rattus norvegicus OX=10116 GN=Srgap2 PE=1 SV=1,2,2,2,2,1,1071,120.8,6.76,3.99,2,Oxidation [K186; K326]
D3ZNF5,Calcium permeable stress-gated cation channel 1 OS=Rattus norvegicus OX=10116 GN=Tmem63c PE=1 SV=1,3,2,2,2,1,802,92.9,7.64,3.99,2,
P84060,Dystrobrevin beta OS=Rattus norvegicus OX=10116 GN=Dtnb PE=1 SV=2,2,2,2,2,1,654,73.8,8.59,3.98,2,Oxidation [P316; P318; P321; P324; P327]
F1M5N7,Kinesin-like protein KIF21B OS=Rattus norvegicus OX=10116 GN=Kif21b PE=1 SV=2,1,2,2,1,1,1634,182.5,7.28,3.94,2,
E9PTA2,Transient receptor potential cation channel subfamily M member 2 OS=Rattus norvegicus OX=10116 GN=Trpm2 PE=1 SV=3,1,2,2,2,1,1507,172.1,7.31,3.92,2,Oxidation [P166]
Q6JHU9,Histone lysine acetyltransferase CREBBP OS=Rattus norvegicus OX=10116 GN=Crebbp PE=1 SV=1,1,2,2,0,0,2442,265.3,8.5,3.91,2,Oxidation [P687; P691; P692]
P18418,Calreticulin OS=Rattus norvegicus OX=10116 GN=Calr PE=1 SV=1,5,2,2,0,0,416,48,4.49,3.91,2,Oxidation [P245; P263; P264; P269]
P58751,Reelin OS=Rattus norvegicus OX=10116 GN=Reln PE=2 SV=1,1,2,2,0,0,3462,387.3,5.8,3.89,2,Oxidation [P430]
D3ZTD8,Semaphorin-5A OS=Rattus norvegicus OX=10116 GN=Sema5a PE=1 SV=1,2,2,2,2,1,1074,120.3,7.27,3.89,2,Oxidation [P530; P533; P738]
Q00959,"Glutamate receptor ionotropic, NMDA 2A OS=Rattus norvegicus OX=10116 GN=Grin2a PE=1 SV=2",1,2,2,2,1,1464,165.4,7.05,3.88,2,
Q00939,Forkhead box protein G1 OS=Rattus norvegicus OX=10116 GN=Foxg1 PE=2 SV=1,7,2,2,2,1,480,51.4,8.87,3.87,2,Oxidation [P133]
B0K019,BAG family molecular chaperone regulator 1 OS=Rattus norvegicus OX=10116 GN=Bag1 PE=2 SV=1,6,2,2,2,1,358,40.1,6.33,3.86,2,Oxidation [K69; P70]
Q3KR99,Protein Spindly OS=Rattus norvegicus OX=10116 GN=Spdl1 PE=2 SV=1,3,2,2,2,1,597,69.1,6.23,3.85,2,Oxidation [K295]
Q3MHS2,Zinc finger protein 830 OS=Rattus norvegicus OX=10116 GN=Znf830 PE=1 SV=1,7,2,2,0,0,370,41.6,5.3,3.85,2,Oxidation [P212; P213]
P0C2B9,"28S ribosomal protein L42, mitochondrial OS=Rattus norvegicus OX=10116 GN=Mrpl42 PE=1 SV=1",13,2,2,2,1,141,16.5,8.91,3.85,2,Oxidation [P62; P67; K72; P73; P75]
Q9QZA2,Programmed cell death 6-interacting protein OS=Rattus norvegicus OX=10116 GN=Pdcd6ip PE=1 SV=2,3,2,2,2,1,873,96.6,6.52,3.85,2,Oxidation [P407; P419]
B3GSH5,Acetylserotonin O-methyltransferase OS=Rattus norvegicus OX=10116 GN=Asmt PE=1 SV=1,7,2,2,2,1,432,45.6,8.82,3.84,2,Oxidation [P150]
Q9Z136,Hamartin OS=Rattus norvegicus OX=10116 GN=Tsc1 PE=1 SV=1,2,2,2,2,1,1163,128.9,6.32,3.84,2,Oxidation [K875; K881]
O88457,Sodium channel protein type 11 subunit alpha OS=Rattus norvegicus OX=10116 GN=Scn11a PE=1 SV=1,2,2,2,2,1,1765,201.7,8.18,3.81,2,Oxidation [P487; P1696]
D3ZZN9,Rho GTPase-activating protein SYDE1 OS=Rattus norvegicus OX=10116 GN=Syde1 PE=1 SV=1,3,2,2,2,1,735,80.3,8.62,3.81,2,Oxidation [P114; P116; P120; P242; P243; P245]
O35179,Endophilin-A1 OS=Rattus norvegicus OX=10116 GN=Sh3gl2 PE=1 SV=2,5,2,2,0,0,352,39.9,5.39,3.79,2,Oxidation [P112]
P13852,Major prion protein OS=Rattus norvegicus OX=10116 GN=Prnp PE=1 SV=2,7,2,2,2,1,254,27.8,9.23,3.78,2,Oxidation [K101]
Q9Z327,Synaptopodin OS=Rattus norvegicus OX=10116 GN=Synpo PE=1 SV=2,2,2,2,2,1,931,99.9,9.36,3.77,2,Oxidation [P582; P584; P585]
P46153,Transcription factor GATA-6 OS=Rattus norvegicus OX=10116 GN=Gata6 PE=1 SV=2,4,2,2,2,1,587,59.1,8.31,3.76,2,Oxidation [P262; P265; P267]
O70127,Bile salt export pump OS=Rattus norvegicus OX=10116 GN=Abcb11 PE=1 SV=1,2,2,2,2,1,1321,146.2,7.4,3.76,2,Oxidation [K461]
P08461,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Rattus norvegicus OX=10116 GN=Dlat PE=1 SV=3",3,2,2,2,1,632,67.1,8.53,3.76,2,Oxidation [K26; P28]
P69527,Aminopeptidase O OS=Rattus norvegicus OX=10116 GN=Aopep PE=2 SV=2,3,2,2,2,1,822,93.4,6.52,3.74,2,Oxidation [P180; P400]
Q62888,Neuroligin-2 OS=Rattus norvegicus OX=10116 GN=Nlgn2 PE=1 SV=1,4,2,2,0,0,836,90.9,6.18,3.74,2,Oxidation [P87; P90; P731]
O88881,Brain-enriched guanylate kinase-associated protein OS=Rattus norvegicus OX=10116 GN=Begain PE=1 SV=1,4,2,2,2,1,611,67,6.25,3.73,2,Oxidation [K71; P209; P211]
Q4KM84,Histidine protein methyltransferase 1 homolog OS=Rattus norvegicus OX=10116 GN=Mettl18 PE=2 SV=1,6,2,2,2,1,362,40,5.76,3.73,2,Oxidation [P78; K88]
Q63511,G protein-activated inward rectifier potassium channel 3 OS=Rattus norvegicus OX=10116 GN=Kcnj9 PE=1 SV=2,8,2,2,2,1,393,43.9,4.96,3.72,2,Oxidation [P329]
Q05754,Dopamine beta-hydroxylase OS=Rattus norvegicus OX=10116 GN=Dbh PE=1 SV=1,3,2,2,2,1,620,69.8,6.19,3.71,2,Oxidation [P292; P563]
Q9WVR8,Menin OS=Rattus norvegicus OX=10116 GN=Men1 PE=1 SV=1,5,2,2,2,1,610,67.3,6.39,3.7,2,Oxidation [P71; P72; P504; P514; P515]
P23514,Coatomer subunit beta OS=Rattus norvegicus OX=10116 GN=Copb1 PE=1 SV=1,2,2,2,2,1,953,106.9,5.96,3.69,2,Oxidation [K656; K660]
Q5M818,"39S ribosomal protein L16, mitochondrial OS=Rattus norvegicus OX=10116 GN=Mrpl16 PE=2 SV=1",6,2,2,2,1,251,28.9,10.32,3.68,2,
Q5U300,Ubiquitin-like modifier-activating enzyme 1 OS=Rattus norvegicus OX=10116 GN=Uba1 PE=1 SV=1,2,2,2,2,1,1058,117.7,5.57,3.67,2,Oxidation [P554]
Q64428,"Trifunctional enzyme subunit alpha, mitochondrial OS=Rattus norvegicus OX=10116 GN=Hadha PE=1 SV=2",3,2,2,2,1,763,82.6,9.06,3.67,2,Oxidation [P195]
P20812,Cytochrome P450 2A3 OS=Rattus norvegicus OX=10116 GN=Cyp2a3 PE=2 SV=1,3,2,2,2,1,494,56.5,9.14,3.65,2,Oxidation [P408]
Q68G30,Kinesin light chain 3 OS=Rattus norvegicus OX=10116 GN=Klc3 PE=1 SV=1,5,2,2,2,1,505,55.6,6.65,3.65,2,
Q62894,Extracellular matrix protein 1 OS=Rattus norvegicus OX=10116 GN=Ecm1 PE=1 SV=2,5,2,2,2,1,562,63.2,6.87,3.65,2,Oxidation [K274; P326; P328]
Q62918,Protein kinase C-binding protein NELL2 OS=Rattus norvegicus OX=10116 GN=Nell2 PE=2 SV=1,2,2,2,2,1,816,90.9,5.59,3.63,2,Oxidation [P64]
F1LM93,Tyrosine-protein kinase Yes OS=Rattus norvegicus OX=10116 GN=Yes1 PE=1 SV=1,3,2,2,2,1,541,60.6,6.64,3.63,2,Oxidation [P12]
Q63751,Vomeromodulin OS=Rattus norvegicus OX=10116 GN=Bpifb9 PE=1 SV=2,4,2,2,0,0,589,62.8,5.63,3.62,2,Oxidation [P45; P48]
Q5XI29,Cleavage and polyadenylation specificity factor subunit 7 OS=Rattus norvegicus OX=10116 GN=Cpsf7 PE=1 SV=1,3,2,2,2,1,462,51,7.78,3.62,2,Oxidation [P59; P61; P63; P68]
D4A3T6,Adhesion G-protein coupled receptor F2 OS=Rattus norvegicus OX=10116 GN=Adgrf2 PE=3 SV=1,4,2,2,2,1,638,70.8,8.53,3.61,2,Oxidation [P506]
P41739,Aryl hydrocarbon receptor nuclear translocator OS=Rattus norvegicus OX=10116 GN=Arnt PE=1 SV=2,3,2,2,0,0,800,88.2,6.7,3.58,2,
